location,AQI,AQI Category,Custom AQI Category
Telangana-Ramagundam,76.73737373737374,MODERATE,MODERATE
Telangana-Sangareddy,108.0368407310705,UNHEALTHY,MODERATE
Telangana-Warangal,110.04699738903396,UNHEALTHY,MODERATE
Tripura-Agartala,107.0313315926893,UNHEALTHY,MODERATE
UttarPradesh-Agra,164.90368146214098,UNHEALTHY,UNHEALTHY
UttarPradesh-Allahabad,134.2321608040201,UNHEALTHY,UNHEALTHY
UttarPradesh-Anpara,108.95979899497488,UNHEALTHY,MODERATE
UttarPradesh-Baghpat,149.68146214099215,UNHEALTHY,UNHEALTHY
UttarPradesh-Bareilly,150.54308093994777,UNHEALTHY,UNHEALTHY
UttarPradesh-Firozabad,130.18609547738694,UNHEALTHY,UNHEALTHY
UttarPradesh-Gajraula,137.56532663316582,UNHEALTHY,UNHEALTHY
UttarPradesh-Ghaziabad,155.92819843342036,UNHEALTHY,UNHEALTHY
UttarPradesh-Gorakhpur,170.4825778894472,UNHEALTHY,UNHEALTHY
UttarPradesh-GreaterNoida,151.8355091383812,UNHEALTHY,UNHEALTHY
UttarPradesh-Hapur,166.0522193211488,UNHEALTHY,UNHEALTHY
UttarPradesh-Jhansi,71.04545454545455,MODERATE,GOOD
UttarPradesh-Kanpur,127.2793733681462,UNHEALTHY,UNHEALTHY
UttarPradesh-Khurja,120.8994974874372,UNHEALTHY,MODERATE
UttarPradesh-Lucknow,127.18027638190956,UNHEALTHY,UNHEALTHY
UttarPradesh-Mathura,104.23366834170854,UNHEALTHY,MODERATE
UttarPradesh-Meerut,129.60552763819095,UNHEALTHY,UNHEALTHY
UttarPradesh-Moradabad,143.03768844221105,UNHEALTHY,UNHEALTHY
UttarPradesh-Muzaffarnagar,144.9425587467363,UNHEALTHY,UNHEALTHY
UttarPradesh-Raebareli,105.14556281407036,UNHEALTHY,MODERATE
UttarPradesh-Saharanpur,106.47236180904522,UNHEALTHY,MODERATE
UttarPradesh-Unnao,90.84343434343435,MODERATE,MODERATE
UttarPradesh-Varanasi,115.22814070351758,UNHEALTHY,MODERATE
Uttarakhand-Dehradun,107.30167336683417,UNHEALTHY,MODERATE
Uttarakhand-Haldwani,78.71717171717171,MODERATE,MODERATE
Uttarakhand-Haridwar,88.6161616161616,MODERATE,MODERATE
Uttarakhand-Kashipur,89.11111111111111,MODERATE,MODERATE
Uttarakhand-Rishikesh,91.5858585858586,MODERATE,MODERATE
Uttarakhand-Rudrapur,89.11111111111111,MODERATE,MODERATE
WestBengal-Alipurduar,63.37373737373737,MODERATE,GOOD
WestBengal-Asansol,140.2036553524804,UNHEALTHY,UNHEALTHY
WestBengal-Baharampur,76.73737373737374,MODERATE,MODERATE
WestBengal-Balurghat,67.82828282828282,MODERATE,GOOD
WestBengal-Bankura,72.77777777777777,MODERATE,GOOD
WestBengal-Barasat,82.18181818181819,MODERATE,MODERATE
WestBengal-Bardhaman,74.75757575757575,MODERATE,GOOD
WestBengal-Barrackpore,127.2793733681462,UNHEALTHY,UNHEALTHY
WestBengal-Baruipur,66.83838383838383,MODERATE,GOOD
WestBengal-Bolpur,72.28282828282829,MODERATE,GOOD
WestBengal-Chinsura,79.21212121212122,MODERATE,MODERATE
WestBengal-Coochbehar,63.12626262626263,MODERATE,GOOD
WestBengal-Dankuni,76.73737373737374,MODERATE,MODERATE
WestBengal-Darjeeling,76.02575107296138,MODERATE,MODERATE
WestBengal-Durgapur,133.3107049608355,UNHEALTHY,UNHEALTHY
WestBengal-Ghatal,69.8080808080808,MODERATE,GOOD
WestBengal-Haldia,99.1587982832618,MODERATE,MODERATE
WestBengal-Howrah,129.00261096605743,UNHEALTHY,UNHEALTHY
WestBengal-Jalpaiguri,61.39393939393939,MODERATE,GOOD
WestBengal-Jhargram,62.87878787878788,MODERATE,GOOD
WestBengal-Kalimpong,52.48484848484848,MODERATE,GOOD
WestBengal-Kalyani,122.10966057441252,UNHEALTHY,MODERATE
WestBengal-Kharagpur,120.40201005025123,UNHEALTHY,MODERATE
WestBengal-Kolkata,118.44778067885116,UNHEALTHY,MODERATE
WestBengal-Krishnanagar,76.73737373737374,MODERATE,MODERATE
WestBengal-Maldah,73.76767676767676,MODERATE,GOOD
WestBengal-Medinipur,63.37373737373737,MODERATE,GOOD
WestBengal-Purulia,70.79797979797979,MODERATE,GOOD
WestBengal-Raiganj,62.38383838383838,MODERATE,GOOD
WestBengal-Rampurhat,74.26262626262627,MODERATE,GOOD
WestBengal-Ranaghat,79.21212121212122,MODERATE,MODERATE
WestBengal-Raniganj,116.58777386934672,UNHEALTHY,MODERATE
WestBengal-Rishra,82.18181818181819,MODERATE,MODERATE
WestBengal-Sankrail,119.52480417754568,UNHEALTHY,MODERATE
WestBengal-Siliguri,92.84978540772532,MODERATE,MODERATE
WestBengal-Suri,72.28282828282829,MODERATE,GOOD
WestBengal-Tamluk,77.23232323232324,MODERATE,MODERATE
WestBengal-Tribeni,80.20202020202021,MODERATE,MODERATE
WestBengal-Uluberia,70.3030303030303,MODERATE,GOOD
